,dices_coefficient,sigma,extended_maxima_h
46,0.3010752688172043,1.0,0.3500000000000001
47,0.30434782608695654,1.0,0.3750000000000001
48,0.32941176470588235,1.0,0.4000000000000001
49,0.358974358974359,1.0,0.4250000000000001
50,0.37333333333333335,1.0,0.4500000000000001
51,0.3783783783783784,1.0,0.47500000000000014
52,0.4,1.0,0.5000000000000002
53,0.42424242424242425,1.0,0.5250000000000001
54,0.45161290322580644,1.0,0.5500000000000003
55,0.4666666666666667,1.0,0.5750000000000002
56,0.49122807017543857,1.0,0.6000000000000002
57,0.5,1.0,0.6250000000000002
58,0.49056603773584906,1.0,0.6500000000000002
59,0.4897959183673469,1.0,0.6750000000000003
60,0.4782608695652174,1.0,0.7000000000000003
61,0.4782608695652174,1.0,0.7250000000000003
62,0.5,1.0,0.7500000000000002
63,0.47619047619047616,1.0,0.7750000000000002
64,0.47368421052631576,1.0,0.8000000000000003
65,0.4,1.0,0.8250000000000003
66,0.42424242424242425,1.0,0.8500000000000003
67,0.3225806451612903,1.0,0.8750000000000003
68,0.1643835616438356,1.0,0.05
69,0.19672131147540983,1.0,0.07500000000000001
70,0.2222222222222222,1.0,0.10000000000000002
71,0.22972972972972974,1.0,0.12500000000000003
72,0.2556390977443609,1.0,0.15000000000000002
73,0.2786885245901639,1.0,0.17500000000000004
74,0.30357142857142855,1.0,0.20000000000000007
75,0.3148148148148148,1.0,0.22500000000000003
76,0.32075471698113206,1.0,0.25000000000000006
77,0.32,1.0,0.2750000000000001
78,0.3010752688172043,1.0,0.3000000000000001
79,0.3076923076923077,1.0,0.32500000000000007
80,0.32941176470588235,1.0,0.3500000000000001
81,0.36363636363636365,1.0,0.3750000000000001
82,0.3783783783783784,1.0,0.4000000000000001
83,0.39436619718309857,1.0,0.4250000000000001
84,0.42424242424242425,1.0,0.4500000000000001
85,0.4375,1.0,0.47500000000000014
86,0.4666666666666667,1.0,0.5000000000000002
87,0.4827586206896552,1.0,0.5250000000000001
88,0.509090909090909,1.0,0.5500000000000003
89,0.48148148148148145,1.0,0.5750000000000002
90,0.4897959183673469,1.0,0.6000000000000002
91,0.46808510638297873,1.0,0.6250000000000002
92,0.46808510638297873,1.0,0.6500000000000002
93,0.4888888888888889,1.0,0.6750000000000003
94,0.5116279069767442,1.0,0.7000000000000003
95,0.46153846153846156,1.0,0.7250000000000003
96,0.43243243243243246,1.0,0.7500000000000002
97,0.4117647058823529,1.0,0.7750000000000002
98,0.42424242424242425,1.0,0.8000000000000003
99,0.375,1.0,0.8250000000000003
100,0.27586206896551724,1.0,0.8500000000000003
101,0.2962962962962963,1.0,0.8750000000000003
102,0.18,1.0,0.05
103,0.21686746987951808,1.0,0.07500000000000001
104,0.22818791946308725,1.0,0.10000000000000002
105,0.2595419847328244,1.0,0.12500000000000003
106,0.288135593220339,1.0,0.15000000000000002
