FrameNumber, NCC, OriginalFrameNumber, Strip0_NCC, Strip0_XShift, Strip0_YShift, Strip10_NCC, Strip10_XShift, Strip10_YShift, Strip11_NCC, Strip11_XShift, Strip11_YShift, Strip12_NCC, Strip12_XShift, Strip12_YShift, Strip13_NCC, Strip13_XShift, Strip13_YShift, Strip14_NCC, Strip14_XShift, Strip14_YShift, Strip1_NCC, Strip1_XShift, Strip1_YShift, Strip2_NCC, Strip2_XShift, Strip2_YShift, Strip3_NCC, Strip3_XShift, Strip3_YShift, Strip4_NCC, Strip4_XShift, Strip4_YShift, Strip5_NCC, Strip5_XShift, Strip5_YShift, Strip6_NCC, Strip6_XShift, Strip6_YShift, Strip7_NCC, Strip7_XShift, Strip7_YShift, Strip8_NCC, Strip8_XShift, Strip8_YShift, Strip9_NCC, Strip9_XShift, Strip9_YShift, XShift, YShift
11, 0.9882097840309143, 11, 0.983661413192749, 0.9997328553833569, -0.9998100309408713, 0.9775977730751038, -13, 35, 0.9775251746177673, -3.9995713679349336, -2.000629368437444, 0.9784027934074402, -1.99996508795752, 5.0001570083565525, 0.9906168580055237, -0.0007029288973257053, -0.0014513685398469534, 0.9957256317138672, -0.0004067643298810708, -0.0016580878540253252, 0.9821581244468689, 1.0005505947980282, -5.999938552018904, 0.9778466820716858, 2.9997741028816165, -4.999603388818656, 0.9786269664764404, 0.0011190377986594058, -1.9999651205668698, 0.9838666915893555, 1.0015553867938536, 0.00038964434173749396, 0.9824981093406677, -0.9995885226756798, 0.0003357609444378795, 0.9793069958686829, 11.99966745043659, -15.000522866963138, 0.9806912541389465, 8.999865580528734, 11.998986793821587, 0.9779589772224426, 8, 37, 0.982698380947113, -5.999952022315483, 2.9990084911717076, 78, 83
12, 0.9867464900016785, 12, 0.9835662245750427, 8.00077620783928, -6.999733858589355, 0.9773282408714294, -8.000503999701692, 6.002293273524458, 0.973052442073822, -9.000487773028752, 4.997512137248123, 0.979828953742981, -9.000028659351429, 4.000754568825641, 0.9908877015113831, -0.0007390446410795448, -0.001521872820092085, 0.9957256317138672, -0.0004067643298810708, -0.0016580878540253252, 0.983015239238739, 8.000283739847745, -8.000709738257278, 0.9775545001029968, 7.0003373687085855, -11.997988334831462, 0.9818117618560791, 3.999002350930553, -2.9992412311358123, 0.9839203357696533, 2.001071854882454, -0.9985832818688891, 0.9810636043548584, -1.000921796264791, 0.0011117194869143532, 0.9781604409217834, -1.99984331553064, 2.000092914509395, 0.980195939540863, -3.9993872349789115, 3.999486443250305, 0.9757624268531799, 7, 38, 0.98151034116745, -7.999300276618371, 4.997387414055879, 64, 83
13, 0.9886770844459534, 13, 0.9844821691513062, 3.0004997410623844, 0.0005047980006338548, 0.9759957790374756, -10, 34, 0.9779977798461914, -5.999905331919095, -3.0004828449969523, 0.9796379804611206, -4.999637751364517, 5.999817386430038, 0.9867726564407349, -0.001176678831242839, -0.0016048810587676599, 0.9957256317138672, -0.0004067643298810708, -0.0016580878540253252, 0.9829573035240173, 3.0011384713803153, -2.0014715411969277, 0.9805930852890015, 1.0006345981653624, -3.000665126812038, 0.9832074642181396, -1.000455767751859, -0.00048311195853045774, 0.9840719103813171, -1.998713234758938, 1.9988636028613485, 0.9815616011619568, -3.0000028568396857, 1.001322851043227, 0.9796276688575745, -2.9993649910427678, 3.9983367610506377, 0.9817657470703125, -0.9996270413550974, 4.999651541646017, 0.9715815186500549, -1.0001815244037147, 0.9965594849848003, 0.9815250635147095, -3.00048174619441, 0.9999440958658283, 48, 77
14, 0.9883309006690979, 14, 0.9812613725662231, 0.00047946220568917397, -7.997915776422417, 0.9781122207641602, -6.000486444163883, 5.002274652968026, 0.9777689576148987, -6.001586108477952, 4.997708231395336, 0.9820018410682678, -4.999744975003821, 6.0003072985524, 0.9926685690879822, -0.0007044540386971221, -0.0016484783406554016, 0.9957256317138672, -0.0004067643298810708, -0.0016580878540253252, 0.9833439588546753, -0.0010634351609439818, -7.000755043996108, 0.9800819158554077, -0.00010235038296002585, -7.000096973959842, 0.9846621751785278, -8.799776270507209e-05, -3.0000429926177787, 0.9842564463615417, 0.000998789704269143, -0.0003537870952072808, 0.9804599285125732, 1.885511544230667e-05, 1.000557868904508, 0.9786144495010376, 0.0004373767683034657, 3.99890227318528, 0.9822619557380676, -1.9992817504050038, 3.9996547306371326, 0.976387619972229, -2.0005156154695953, 3.9982817685599343, 0.9807764291763306, -5.999679877271191, 5.997181450608025, 45, 85
15, 0.9888395667076111, 15, 0.9808814525604248, -0.9993322599291616, -0.9999797799634251, 0.9798446297645569, -7.999633948580993, 7.001915295631136, 0.9785299897193909, -7.00021375164323, 6.998409103224333, 0.9815486669540405, -5.001190657411854, 8.999833589255616, 0.993194043636322, -0.000623071613290449, -0.0016063784642597057, 0.9957256317138672, -0.0004067643298810708, -0.0016580878540253252, 0.9828972816467285, -0.00023208177887568127, -3.0011541702017297, 0.9818308353424072, 1.0008707970980169, -4.000466658735135, 0.9839548468589783, 1.0010017473483543, -1.9998201736500505, 0.984183132648468, 2.001801050684932, 0.00030360400643303365, 0.980789065361023, 1.9987669855340897, 1.0007620127224754, 0.9802886843681335, -0.9987372018324976, 2.999294832579352, 0.9840588569641113, -1.9993716236801333, 3.999667710627591, 0.9749365448951721, 7, 38, 0.981494128704071, -7.999200863008937, 7.997359994767351, 43, 92
16, 0.9883273839950562, 16, 0.9837754964828491, -0.9996069345580167, -6.999868005128707, 0.9790541529655457, -3.0002457243225393, 14.001474506230352, 0.9748510718345642, -1.0012734828104755, 13.000658289453952, 0.983263373374939, -0.9996201578814663, 12.999567655907299, 0.993194043636322, -0.000623071613290449, -0.0016063784642597057, 0.9957256317138672, -0.0004067643298810708, -0.0016580878540253252, 0.9813517928123474, 1.000355180981515, -7.9982910279235355, 0.9787257313728333, -0.0004458916557013026, -3.999711164079571, 0.9841786623001099, 0.9997721624631879, -1.9997303854133293, 0.9823002815246582, 1.0014459735896821, 2.000234467504015, 0.981069028377533, -1.99987506311642, 4.000930162344218, 0.9798601269721985, -2.9999438662005105, 6.9995857441248575, 0.981654703617096, -3.9987867455047024, 7.000016664940659, 0.9798445105552673, -5.0012816063491385, 8.000824805873549, 0.9799264073371887, -5.99938617289142, 11.995817849126183, 45, 98
17, 0.9898972511291504, 17, 0.9835699200630188, 2.0007746944970535, -0.999029866817633, 0.97864830493927, -14, 37, 0.9774443507194519, -4.998892261041519, 1.9990080035477718, 0.9832509756088257, -2.998615416706457, 8.998936210486818, 0.993194043636322, -0.000623071613290449, -0.0016063784642597057, 0.9957256317138672, -0.0004067643298810708, -0.0016580878540253252, 0.9808719754219055, 2.0006975383741405, -5.000849872657852, 0.9806170463562012, 3.0000480407800154, -5.999826009914855, 0.9838063716888428, 0.9994365845564346, -1.0005827631317459, 0.9843795299530029, 0.0007375420842379299, 0.9998904650105374, 0.9817189574241638, -3.0000205659202095, 2.000385345450809, 0.98122239112854, -2.999477110704106, 3.999440267476814, 0.9834291338920593, -3.9992061876472604, 4.999219777305939, 0.9793720841407776, 6, 37, 0.98158198595047, -5.999162858336405, 5.998066448829434, 50, 101
18, 0.9888887405395508, 18, 0.9826387166976929, 2.9997172145636597, 2.000816652234139, 0.9773245453834534, -9.000018590850232, 18.998701394179022, 0.9791806936264038, -5.999767939919309, -2.0007372363475042, 0.9833797812461853, -3.000593875819746, 2.000281063678244, 0.993194043636322, -0.000623071613290449, -0.0016063784642597057, 0.9957256317138672, -0.0004067643298810708, -0.0016580878540253252, 0.981950044631958, 2.999935465833758, -4.9993051621517495, 0.9809597730636597, 2.999506174591957, -5.999539486148819, 0.9836763143539429, 0.999617760712141, -0.9989238288206508, 0.9841175079345703, 0.0019968807248460507, 1.000643382286171, 0.9824767112731934, -2.0002644433083248, 0.0010356036262919588, 0.9785922169685364, -2.9997665711724864, 3.998309302368142, 0.9817772507667542, -3.9988413400469938, 4.99856186188606, 0.9731267690658569, -6, 38, 0.9782673716545105, -7.998282606038529, 3.9984959013702905, 46, 104
19, 0.9877110719680786, 19, 0.9831416010856628, 0.001184900562719804, 3.9999978754736816, 0.976925790309906, -16, 37, 0.9777733683586121, -6.999049849770287, -0.999593818678818, 0.98082435131073, -2.0003009436070016, 2.0011901290267815, 0.993194043636322, -0.000623071613290449, -0.0016063784642597057, 0.9957256317138672, -0.0004067643298810708, -0.0016580878540253252, 0.9818041324615479, 0.9995234751882833, -3.000312852550479, 0.9791104793548584, 2.998974803847986, -4.000019922900208, 0.9824056029319763, 0.0004892356356691607, -0.9995950620672147, 0.9831526875495911, 0.0013149057673302877, 1.0002056608811358, 0.9813857674598694, -0.9997109234609667, -0.99827535846714, 0.980492115020752, -0.9998366687332378, 3.9984988842214193, 0.9802943468093872, -1.9997428079744566, 4.000656518392418, 0.9648937582969666, 7, 36, 0.9807584285736084, -6.998954954783258, 3.9981709059755985, 43, 94
20, 0.9889422059059143, 20, 0.9825859665870667, -1.0011052388590684, -0.9999698707100535, 0.9769355654716492, -4.9980501795809005, 22.00033531788813, 0.9789578318595886, -7.000021568021793, -3.0011025103812585, 0.9805220365524292, -4.998079238976075, -3.9976275522259925, 0.993194043636322, -0.000623071613290449, -0.0016063784642597057, 0.9957256317138672, -0.0004067643298810708, -0.0016580878540253252, 0.981559693813324, -0.9987508452152838, -4.99931543272713, 0.9785452485084534, 1.9999250996658162, -2.0001091422439288, 0.982587993144989, -0.00020883525455417384, 0.9996578927569288, 0.982890248298645, 0.0007578454419103764, 3.9993707000144525, 0.982194721698761, -0.9992739810137863, 1.000860292722109, 0.9797308444976807, 17.999276922206448, -18.000152509534047, 0.9806587100028992, 8.999897583550023, 5.999873901542912, 0.9774821996688843, 8, 38, 0.980724036693573, -6.998568147114625, -1.001212390853027, 40, 97
