FrameNumber, NCC, OriginalFrameNumber, Strip0_NCC, Strip0_XShift, Strip0_YShift, Strip10_NCC, Strip10_XShift, Strip10_YShift, Strip11_NCC, Strip11_XShift, Strip11_YShift, Strip12_NCC, Strip12_XShift, Strip12_YShift, Strip13_NCC, Strip13_XShift, Strip13_YShift, Strip14_NCC, Strip14_XShift, Strip14_YShift, Strip15_NCC, Strip15_XShift, Strip15_YShift, Strip16_NCC, Strip16_XShift, Strip16_YShift, Strip17_NCC, Strip17_XShift, Strip17_YShift, Strip1_NCC, Strip1_XShift, Strip1_YShift, Strip2_NCC, Strip2_XShift, Strip2_YShift, Strip3_NCC, Strip3_XShift, Strip3_YShift, Strip4_NCC, Strip4_XShift, Strip4_YShift, Strip5_NCC, Strip5_XShift, Strip5_YShift, Strip6_NCC, Strip6_XShift, Strip6_YShift, Strip7_NCC, Strip7_XShift, Strip7_YShift, Strip8_NCC, Strip8_XShift, Strip8_YShift, Strip9_NCC, Strip9_XShift, Strip9_YShift, XShift, YShift
11, 0.9729679822921753, 76, 0.9789548516273499, -4.998796998912255, -4.00195248630564, 0.9803779125213623, 6.0002008118176064, 3.0010610228958967, 0.9811784029006958, 6.998822437875958, 4.000475104789359, 0.9799225926399231, 5.0016448986376645, 6.998532065851293, 0.9778757691383362, 3.9999377945141106, 6.000317616681627, 0.9845499992370605, -31, 12, 0.9927697777748108, -0.00023889552107903, -0.0011794157804843053, 0.9942640662193298, 0.00013462274435482868, 0.0007920996048369489, 0.9962707757949829, -0.0001929200453929525, 0.0002562605274079033, 0.9792995452880859, 4.998468328999735, -0.0004559280644897967, 0.9802172183990479, -4.998992067120966, -3.9989825987550347, 0.981514036655426, -0.9999700144616099, 1.0001510435755847, 0.9793571829795837, -2, -13, 0.97916179895401, 6.998554653726572, -1.0008641746530316, 0.9803399443626404, 0.00021211350581040733, 5.998747868299063, 0.9820266962051392, -0.0005017991615403616, -3.0007115099710404, 0.9809221029281616, 5.999770733290688, 3.9976380587397102, 0.9805047512054443, -11, 15, 56, 109
12, 0.9702444076538086, 78, 0.9792191386222839, 96, -15, 0.9794771671295166, -25.99928185379477, -7.998419316737284, 0.9794164299964905, -25, -12, 0.9783217310905457, -23, -15, 0.9788180589675903, -5, -11, 0.9736607074737549, 86, 15, 0.9927697777748108, -0.00023889552107903, -0.0011794157804843053, 0.9942640662193298, 0.00013462274435482868, 0.0007920996048369489, 0.9962707757949829, -0.0001929200453929525, 0.0002562605274079033, 0.9789984226226807, -0.9999906052035357, 0.001589493254201102, 0.9805494546890259, -6.998464474526898, -1.999382487273337, 0.9802771806716919, -2.9997510278041517, 3.000860070538181, 0.9800561666488647, -11.999775028434442, 2.0004324545471945, 0.9796616435050964, -14.000268455772357, 3.0001871926843933, 0.9809145927429199, -20.999695053734683, 0.001239304583748435, 0.9824876189231873, -22.99867962574983, -0.0003834161698250682, 0.980659544467926, -25.001348207577593, 0.9991111531475099, 0.9793375134468079, -26.00013239668786, -1.000448120626288, 21, 93
13, 0.9712549448013306, 94, 0.9769447445869446, 102, -15, 0.9796260595321655, 5.999103935226529, 2.0000864775235527, 0.9795859456062317, 4.000447421172737, 4.00046831665702, 0.9783915281295776, 4.998575518491691, 5.999981010996464, 0.9794251918792725, 7.0002510313226765, 5.000212484955171, 0.9806810021400452, -58, 15, 0.9927697777748108, -0.00023889552107903, -0.0011794157804843053, 0.9942640662193298, 0.00013462274435482868, 0.0007920996048369489, 0.9962707757949829, -0.0001929200453929525, 0.0002562605274079033, 0.9778708219528198, -2.0012169420256214, -0.998540981785311, 0.9809871912002563, 104, -10, 0.9811409711837769, -3.9988691311389033, 3.999594054064076, 0.9808735847473145, 2.9994623419233335, -0.9996685706655342, 0.9799925684928894, 63, -15, 0.9797738790512085, 37.99940973624061, -0.0001677877498025282, 0.9814813733100891, 3.0009950482809273, -9.99976386828456, 0.9803811311721802, 1.9996884484597217, -3.000124702699054, 0.9803880453109741, 3.99947840183421, 1.000183853228748, -97, 94
14, 0.9740603566169739, 125, 0.9818064570426941, -2.9993418498127653, 1.9963980884371333, 0.9809924364089966, 3.999012632036809, -8.999907667277114, 0.9800553321838379, 5.998105784563322, -8.0022701839477, 0.9776859283447266, 5.0006551212316595, -5.99988038952057, 0.9801244139671326, 5.0002353502887615, -5.000306201258127, 0.9797917008399963, -54, 15, 0.9927697777748108, -0.00023889552107903, -0.0011794157804843053, 0.9942640662193298, 0.00013462274435482868, 0.0007920996048369489, 0.9962707757949829, -0.0001929200453929525, 0.0002562605274079033, 0.981546938419342, -1.0018315933426294, 0.9999728075370555, 0.9836531281471252, 1.0002025414573694, 0.9989637183763591, 0.9841167330741882, 1.999353740810676, 0.0015742850233380068, 0.9824487566947937, 1.0028961172124014, 0.0008188671490358956, 0.9826979041099548, -1.999670931269776, -2.0005493145278024, 0.9818599224090576, -5.000098292645788, -4.000719104957824, 0.9812676906585693, -4.999809590635024, -7.999761044775482, 0.9806259274482727, -3.000092160115372, -8.000519633503473, 0.9805787205696106, 7, 13, -4, 104
15, 0.974500298500061, 126, 0.9806426167488098, -1, 6, 0.9810912609100342, 3.998162122311868, 5.753893691462508e-05, 0.9793490767478943, 2.999463829056694, 1.0003748516833753, 0.9788922071456909, 1.0010220779547723, 1.9986359307021075, 0.9782421588897705, 27.999162909848152, -10.000550548760998, 0.976191520690918, -1, 15, 0.9897716045379639, -0.00015984634195831404, 0.00012258883748472726, 0.9942640662193298, 0.00013462274435482868, 0.0007920996048369489, 0.9962707757949829, -0.0001929200453929525, 0.0002562605274079033, 0.983012855052948, -0.9995966839592256, 4.999436534615853, 0.9846607446670532, -0.9988694776122742, 2.9998902247505725, 0.9848626255989075, -0.00023443867014805164, 1.0013353883584557, 0.9840075373649597, 0.0025343457247402057, -0.00012924255096891102, 0.9836052656173706, -0.9995338393717219, -2.00124881898131, 0.9840249419212341, -0.9997954565909168, -3.001578674920694, 0.9814920425415039, 0.9995307000399691, -2.0003939903892842, 0.9810115694999695, 1.0012549307283507, -1.000637936200519, 0.9801828861236572, 3.9999637841109177, -6.698051925013715e-05, -1, 83
16, 0.9734296798706055, 145, 0.9794467687606812, -14.000486655485446, -0.0013789805938717592, 0.9808135032653809, 3.0004482702310042, 0.9980672589904316, 0.9807495474815369, 3.0019922180948697, -0.0006995968828960031, 0.9789267778396606, 6.000658713497074, -1.9992098174255375, 0.9796536564826965, 7.0018145613348395, 9.998885551611863, 0.9787571430206299, -63, 15, 0.9786531925201416, 8.000118486047512, 0.0004761343724908329, 0.9793963432312012, 97.99983116731134, -1.0009656311365234, 0.9962707757949829, -0.0001929200453929525, 0.0002562605274079033, 0.9811464548110962, -10.999059802067478, 1.0012621103408463, 0.980146586894989, -5.00170472161561, 2.998499567174804, 0.9816642999649048, -9.999847820832741, 1.0011465975554472, 0.9819228649139404, -5.000780951422058, 3.000267014151632, 0.9803752899169922, -5.999092199368107, 0.0007115948812952411, 0.9812409281730652, 1.9996667782874624, -5.000544471320865, 0.9826468825340271, 1.0002590745313, -2.9998155240278663, 0.9809694290161133, -0.9984231064467792, -1.0001416726237267, 0.9805605411529541, 2.000193088892104, -0.9983410570692968, 50, 35
17, 0.9734809994697571, 146, 0.9783496260643005, 98, -15, 0.9774735569953918, 11.997896224913518, -8.999995309398685, 0.9782105088233948, 10.999638513143111, -3.998191861774444, 0.9787431955337524, 1.0009144432129204, -0.0009241816638336786, 0.9798048734664917, 5, 12, 0.9782174229621887, -69, 15, 0.9791622161865234, 8.999288772437694, 1.0008306344689117, 0.977104127407074, 98.99849266469955, 1.0005175730852898, 0.9962707757949829, -0.0001929200453929525, 0.0002562605274079033, 0.9805848002433777, 2.9984749169101264, 1.000286830921489, 0.9800381064414978, 3.998891377002863, -4.999255789435296, 0.9816249012947083, -6.000285590761877, 3.0001303720438415, 0.9793002009391785, -29, -13, 0.9796656370162964, -5.999686863215601, 3.9999505979496064, 0.9802497029304504, 33, -13, 0.9813284277915955, -56.00100097917871, -8.000053126039063, 0.9806700348854065, 0.0008708787960358677, -1.9998301820309052, 0.9809984564781189, 8.999236164013226, -0.999450624653889, 65, 30
18, 0.9707764387130737, 148, 0.9759833216667175, 7.0014551278594865, -8.000329064757661, 0.9793596267700195, 104, -8, 0.9781801104545593, 4.000451171968706, 3.0007812370888587, 0.9796566963195801, 3.00184796057178, 2.0005885676735033, 0.9790003299713135, 2.0017197847822104, 3.999896959679347, 0.9786328077316284, -66, 14, 0.9783846735954285, 52.00006745105352, -3.000523439909216, 0.9747671484947205, 18, -12, 0.993081271648407, 0.0002649305081803277, -0.00012902623404897895, 0.9785088300704956, 43, -12, 0.9781743884086609, -3.0002824872548928, -4.000248356332747, 0.9816142320632935, -11.998990697839403, -1.9995130325626889, 0.9790182113647461, -8.00119573341712, -2.9993573905422863, 0.9762066006660461, 65, -15, 0.9789782762527466, 53, -11, 0.9806087613105774, -3.9978864171539072, -8.001325795075758, 0.9809769988059998, -1.9989835875354771, -4.000405282470865, 0.9790334105491638, 54.001250358795204, 0.0008371043011834445, 81, 22
19, 0.972101628780365, 149, 0.9769839644432068, 14.000546682413798, -9.999590876445243, 0.9780121445655823, 18.000233785178338, -9.999734163949142, 0.9767804145812988, 16.000209544247312, -3.66197262451351e-05, 0.9794313907623291, 3.001191752003791, -0.0008022678935617478, 0.9797071814537048, 0.0008408778637658543, 0.9987876813110574, 0.9783957600593567, -14, 15, 0.9771464467048645, -7.000253881240482, 0.9998669373140956, 0.975543200969696, 10, -14, 0.9904412627220154, -0.0006043725384188292, -0.0012071484269426946, 0.9789507389068604, 11.000140290120356, -0.9991868229600698, 0.9788811802864075, 84.00072935497636, -3.000044444979892, 0.9804643392562866, -4.000186440576655, 0.0012217126056555117, 0.9798274040222168, -3.0009334096189946, -1.9983556188732337, 0.9784353375434875, 73, -15, 0.9790287017822266, 26.000326868303347, 1.00016161577895, 0.980426013469696, 1.0014959465200235, -10.001617163675348, 0.981320321559906, 0.00011702377562983202, -8.000252743481894, 0.9793532490730286, 13, -13, 83, 19
20, 0.971100389957428, 150, 0.9759665131568909, 13.999771281289114, -8.000439007134247, 0.9754065871238708, 74, -15, 0.9769397377967834, 20.999228555688305, -2.9991463079562095, 0.978376567363739, 1.001210111037139, -0.0014895808575943192, 0.9803887009620667, 0.0003916288689964631, 0.9992856341340257, 0.978131115436554, -64, 13, 0.9778248071670532, 0.9997943543719146, -0.9985396774424089, 0.9779364466667175, 60.99936742086322, 2.000453571057733, 0.9932924509048462, -0.0002617134846047975, -0.00011193117836683086, 0.9777483344078064, 10.001169900585552, -0.9991933841313312, 0.9782377481460571, 8.000289395378601, -4.000675226810245, 0.980500340461731, 70, 14, 0.9799127578735352, -7.000257248296947, -1.998385607690068, 0.9779194593429565, 45.00100701390425, -1.0007739833281448, 0.9790102243423462, 41.00038000999045, -0.000783647868843218, 0.9799244999885559, -1, -13, 0.9809797406196594, -0.0003040843291728379, 6.999216644766648, 0.9781984090805054, 58.0012876408204, -1.999428880204789, 88, 22
