FrameNumber, NCC, OriginalFrameNumber, Strip0_NCC, Strip0_XShift, Strip0_YShift, Strip10_NCC, Strip10_XShift, Strip10_YShift, Strip11_NCC, Strip11_XShift, Strip11_YShift, Strip12_NCC, Strip12_XShift, Strip12_YShift, Strip13_NCC, Strip13_XShift, Strip13_YShift, Strip14_NCC, Strip14_XShift, Strip14_YShift, Strip15_NCC, Strip15_XShift, Strip15_YShift, Strip1_NCC, Strip1_XShift, Strip1_YShift, Strip2_NCC, Strip2_XShift, Strip2_YShift, Strip3_NCC, Strip3_XShift, Strip3_YShift, Strip4_NCC, Strip4_XShift, Strip4_YShift, Strip5_NCC, Strip5_XShift, Strip5_YShift, Strip6_NCC, Strip6_XShift, Strip6_YShift, Strip7_NCC, Strip7_XShift, Strip7_YShift, Strip8_NCC, Strip8_XShift, Strip8_YShift, Strip9_NCC, Strip9_XShift, Strip9_YShift, XShift, YShift
11, 0.9706995487213135, 55, 0.9801990985870361, 4.000021689207685, -13.00153790024114, 0.9788269400596619, -2.9994465653361004, -1.9997663613185637, 0.978560745716095, -3.9999825222022025, -3.000675638427424, 0.9825761318206787, -5.999654159654668, -4.999808907982924, 0.9855219125747681, 97, 59, 0.9883903861045837, -7.004773242158535e-05, -0.0012639973404020566, 0.9898983836174011, 1.3312002380416743e-06, 0.0018052801600560997, 0.9800969958305359, 1.000883733249239, -11.998782829958557, 0.9784054160118103, 0.999531395917856, -7.000206641488532, 0.9771285653114319, 0.9993261344360889, -4.997422349389353, 0.9807682037353516, 2.998929468789214, -3.999572842657358, 0.9823098182678223, 0.9996804279473395, -0.9990556211914736, 0.977932870388031, -19.00119780033903, -20.99961313937257, 0.9813497066497803, -0.00028910347342048226, 1.0002290031061705, 0.9802361130714417, -1.0002523154988268, -0.9993939404654952, 0.9761790633201599, -2.002138681877426, -0.9996400797180627, -101, 117
12, 0.9703294038772583, 56, 0.9787449836730957, 6.999105574322371, -4.999713956693526, 0.9746289253234863, -4.999310864558055, 6.000454852613871, 0.9783867001533508, 101, -27, 0.9799408912658691, -6.000383700370207, 3.000839910907814, 0.9800713658332825, -7.0005487271234585, 2.001502715077436, 0.9798903465270996, -4.001104055124301, -1.9989855810113681, 0.9898983836174011, 1.3312002380416743e-06, 0.0018052801600560997, 0.9815738797187805, 3.999571589529779, -2.0014194216910255, 0.9807137846946716, 2.9993774818047996, -2.0013970691275063, 0.9781819581985474, -0.00022938819121520737, -0.9973925157683823, 0.9792243838310242, -4.42249993710675e-05, -0.0002111044244372806, 0.9808785319328308, -98, 8, 0.9800353050231934, -27.99915172978345, -20.00265706190271, 0.9801709651947021, 0.9994033590027982, 1.9997693681012834, 0.9794228672981262, 0.9997377742634939, 2.0001643947686034, 0.9780449271202087, 0.9979174737856198, 3.001319584656642, -105, 77
13, 0.9718894362449646, 57, 0.9807386994361877, 3.999492581007331, -13.000952781602152, 0.9775187373161316, -2.0003344276302073, 3.0000109435880518, 0.9798423647880554, -1.9995031408387547, 3.9993600720346194, 0.9808331727981567, -1.000944009856937, 6.0001843799084895, 0.981560230255127, -4.999884894568339, 8.002139809501784, 0.9786344170570374, -3.0014227146801176, 7.999131772363455, 0.9822800755500793, -94.99936004204656, -23.000578729911695, 0.9805594682693481, 3.9996943232589786, -11.000825608111754, 0.9795673489570618, 5.0002115060081, -7.00022436249553, 0.9787395596504211, 4.000252204870847, -1.0007652598605432, 0.9800205230712891, 6.000740539237455, -2.000094829154051, 0.9817109704017639, 4.9995238675277704, -1.998915186893754, 0.9793625473976135, -22.999770324131973, -25.99795770368317, 0.9816338419914246, 1.9990380486474066, -0.9988568678697334, 0.9817984700202942, 1.000032966101145, -0.9990245327203979, 0.9803932309150696, -0.0004122533766235392, 1.0002774685474947, -101, 50
14, 0.9702430963516235, 58, 0.9806957840919495, 11.000057590147094, -20.000230973313705, 0.9785469770431519, -4.000001991727899, 5.000881322191958, 0.9764353036880493, -22.999202032117452, -31.00077909376955, 0.9807960987091064, -2.0001191208921227, 2.0009111341521475, 0.9799646139144897, -6.999283382411662, 25.000637273253233, 0.9751355051994324, -61.999641064245225, -41.998588521611055, 0.9818722605705261, -95.00050662363338, -22.000135144987667, 0.9802290201187134, 10.998728574772827, -19.000259303527898, 0.9781231880187988, 2.0008481034477654, -11.001250495773505, 0.9767332673072815, 101, 8, 0.9788312315940857, 11.000636250137362, -6.99963378933063, 0.9810526967048645, 11.000021326379837, -3.999025745839731, 0.9805238246917725, -9.000613421699697, -20.001292847655776, 0.9816786646842957, 5.999022421091681, 0.001276577868310369, 0.9769522547721863, 3.0006756266324004, 2.0002522177414903, 0.9810643196105957, -1.999600443431504, 3.0003469882194054, -106, 43
15, 0.9718937277793884, 59, 0.9809370040893555, 13.000107508853233, -20.999609781042224, 0.9801400303840637, 0.00011196851318118206, 8.960541731539706e-05, 0.9800301790237427, 1.0008454219049838, -3.000923749631397, 0.981876790523529, 1.99754655985177, -4.999434421326839, 0.9797430634498596, -1.0008617761492644, -2.998520801686766, 0.9788321256637573, -1.0022093481636745, -4.000106050345266, 0.9816272854804993, 0.9998569092638121, -0.9999997494218178, 0.9801944494247437, 12.998816106165165, -21.999655763265565, 0.9780951142311096, 8.000687408748135, -16.00005274127446, 0.9804448485374451, 11.999869751031113, -11.999641176199333, 0.9817994832992554, 10.001081523015074, -9.000406167265083, 0.9805890917778015, -31.99970369014312, 5.0005233039296115, 0.981124222278595, -22.00024743862896, -27.000007921804723, 0.9812869429588318, 2.9994821494237414, -0.9994203555156105, 0.9793269038200378, 101, 26, 0.9799270033836365, 1.0000076709024484, -0.9994472521718762, -121, 39
16, 0.9712011218070984, 60, 0.9812326431274414, 9.999995964892776, -17.999703750057023, 0.9799474477767944, -4.000456360525391, -1.9988055421009676, 0.9793155789375305, -96.99874862207994, 10.00001848233768, 0.9824981689453125, -1.9997324481162622, 0.9997879406342918, 0.9797946214675903, -4.000133796525901, 3.002728922931226, 0.9764764308929443, -7.000792072229146, 8.998028540169457, 0.9804890751838684, -1.0011051373350028, 4.99981577949228, 0.9802180528640747, 9.999203756628063, -17.999924476706468, 0.9796003103256226, 8.998890624460657, -9.999423561037702, 0.9786478877067566, 8.000520267322344, -6.999119837727164, 0.9818909168243408, 7.999596412276503, -4.999993545338725, 0.9808872938156128, -27.999968798669386, 2.0008419422475185, 0.9815159440040588, -21.000303750107236, -23.99873197233896, 0.9820007681846619, 1.9992157218954105, 1.0005622974418031, 0.979312002658844, -5.804826022881571e-05, -1.0002488686221795, 0.9809173345565796, -2.000673752481802, -1.9995558684026378, -128, 38
17, 0.9712028503417969, 61, 0.9803684949874878, 9.998904108003586, -13.000200106967789, 0.9783163070678711, -0.99970542366313, 2.0008322539363803, 0.9775584936141968, -25.000062884172607, 11.001266302264185, 0.9786816835403442, 1.000180064368962, 8.000515702401913, 0.9789243936538696, 13.999695557171208, 7.0003620488015486, 0.9764135479927063, -25.000649697047848, -53.99975084655637, 0.9790424108505249, -60.99930545269953, -8.000808284420827, 0.9810131192207336, 7.999250747676157, -6.000084592704312, 0.979657769203186, 3.999474564263622, -3.999793278160311, 0.9793084859848022, 2.9998437681115178, -1.9989185704250758, 0.9815319776535034, 4.000477289176914, -0.00037048343565970754, 0.9812957048416138, -81.0003959269095, -25.00022004609656, 0.9799584150314331, -22.998804498955096, -23.99952313780844, 0.9799363017082214, -0.00023106641504000436, 3.000048517286473, 0.980542778968811, 1.9999044845463345, -0.0003350147563310202, 0.9809744358062744, 1.0002594260852646, 1.0012006912576226, -125, 25
18, 0.9691296815872192, 74, 0.9804741740226746, 14.998819223149354, -12.99992460917953, 0.9779556393623352, 1.0004656559118814, 48.00189885734392, 0.9775800108909607, -9.99936684274077, -4.999273960003734, 0.9795230031013489, -0.0012142956021250484, -3.0005477794790067, 0.9785231947898865, -5.997926903961783, 27.00071794689245, 0.9719835519790649, 78.9994998886789, 0.9991556046601886, 0.9759140014648438, -25.999948585545965, -18.999210267028616, 0.9785627722740173, -3.9984742993670324, -6.001850695286038, 0.9790217280387878, 4.000346730398391, -4.000413521855819, 0.9769153594970703, 96.00092198033113, 19.99830783508486, 0.9767937660217285, 20.001618827464185, -20.00060779613159, 0.9809253811836243, -5.999416618751937, 2.0001754854059755, 0.9774402379989624, 20.000148985858473, 39.99961312244446, 0.978827714920044, 18.999446692117772, 11.998170894569114, 0.9806377291679382, 2.001036829006779, 12.99968582396474, 0.9785802960395813, 7.999366077972738, 11.000604265021423, -38, 16
19, 0.9725954532623291, 180, 0.9818755388259888, 12.0005362761936, -5.000768280788506, 0.9802536368370056, 96.99889661862179, -14.000291496967861, 0.9808397889137268, -8.999907353323977, -35.00107627091836, 0.981952965259552, -2.9996857976009466, 2.999811815027556, 0.9793895483016968, -5.999475393321916, 13.001305650018253, 0.9802235960960388, -89, -60, 0.9797970056533813, -5.001505639966169, 5.999021534032181, 0.9834609627723694, 15.000102406125833, 6.000275780493368, 0.9817088842391968, 14.000019238568854, 5.999551085154394, 0.983061671257019, 11.000257861937868, 4.000169466968941, 0.9833765029907227, 5.000096531924953, 1.0005063939489958, 0.9827250242233276, 1.0010348210085738, -1.0003050335056969, 0.9827833771705627, -1.998475126518585, -1.9993738861727195, 0.9824598431587219, -1.0004863977513168, -0.0003143425724374538, 0.9829502105712891, -2.0012261505359703, 0.00039384611613968445, 0.9811339974403381, -0.0002883251089542682, 1.999994163363624, 77, 11
20, 0.9716345071792603, 181, 0.9821166396141052, 8.000176429482948, -14.000531505925387, 0.9808143973350525, -6.999082051315298, 3.0006178415645763, 0.9803458452224731, -8.000215146251747, 3.9995974317535, 0.9807116389274597, -8.99944113992828, 2.9993455016846724, 0.9796386957168579, -12.999378186444147, 13.001005174723957, 0.9788430333137512, -86.00050524506031, 44.99988148024693, 0.9785823225975037, -70, -28, 0.9826024770736694, 6.999804955971314, -10.001182782870174, 0.9816072583198547, 7.99972815715833, -6.000404602270947, 0.982049286365509, 4.000657558585303, -2.0010736555253743, 0.9814331531524658, -6.999770637899815, 0.00024844291468184565, 0.9808424115180969, 2.0006325154974434, -0.00026466170430694547, 0.9785131812095642, 0.9998888428492876, 2.001611373178889, 0.982088029384613, -0.0005330760754702624, 3.0013048060377514, 0.98335200548172, -4.9994913379571955, 4.000365878632351, 0.9808555245399475, -2.999451551719062, 10.999614474450937, 63, -2
